country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Albania,AL,null,Falsch,,,,,,,,,
Austria,AT,0.091,Falsch,"Medium Score = 50%
Low Score = 22%",,,,,,,,
Belgium,BE,0.092,Falsch,"Medium Score = 44%
Low Score = 26%",,,,,,,,
Bulgaria,BG,0.151,Falsch,"Medium Score = 54%
Low Score = 26%",,,,,,,,
Bosnia and Herzegovina,BA,null,Falsch,"Medium Score = 50%
Low Score = 28%",,,,,,,,
Switzerland,CH,null,Falsch,"Medium Score = 50%
Low Score = 28%",,,,,,,,
Cyprus,CY,0.147,Falsch,"Medium Score = 51%
Low Score = 30%",,,,,,,,
Czechia,CZ,0.114,Falsch,"Medium Score = 54%
Low Score = 21%",,,,,,,,
Germany,DE,0.086,Falsch,"Medium Score = 46%
Low Score = 22%",,,,,,,,
Denmark,DK,0.079,Falsch,"Medium Score = 45%
Low Score = 15%",,,,,,,,
Estonia,EE,0.106,Falsch,"Medium Score = 47%
Low Score = 13%",,,,,,,,
Georgia,GE,null,Falsch,"Medium Score = 50%
Low Score = 28%",,,,,,,,
Greece,EL,0.154,Falsch,"Medium Score = 52%
Low Score = 29%",,,,,,,,
Spain,ES,0.127,Falsch,"Medium Score = 54%
Low Score = 27%",,,,,,,,
Finland,FI,0.095,Falsch,"Medium Score = 49%
Low Score = 11%",,,,,,,,
France,FR,0.12,Falsch,"Medium Score = 51%
Low Score = 25%",,,,,,,,
Croatia,HR,0.133,Falsch,"Medium Score = 55%
Low Score = 22%",,,,,,,,
Hungary,HU,0.108,Falsch,"Medium Score = 61%
Low Score = 17%",,,,,,,,
Ireland,IE,0.087,Falsch,"Medium Score = 47%
Low Score = 22%",,,,,,,,
Iceland,IS,null,Falsch,"Medium Score = 50%
Low Score = 28%",,,,,,,,
Italy,IT,0.19,Falsch,"Medium Score = 49%
Low Score = 26%",,,,,,,,
Liechtenstein,LI,null,Falsch,"Medium Score = 50%
Low Score = 28%",,,,,,,,
Lithuania,LT,0.107,Falsch,"Medium Score = 54%
Low Score = 25%",,,,,,,,
Luxembourg,LU,0.074,Falsch,"Medium Score = 43%
Low Score = 24%",,,,,,,,
Latvia,LV,0.113,Falsch,"Medium Score = 50%
Low Score = 25%",,,,,,,,
Montenegro,ME,null,Falsch,"Medium Score = 50%
Low Score = 28%",,,,,,,,
North Macedonia,MK,null,Falsch,"Medium Score = 50%
Low Score = 28%",,,,,,,,
Malta,MT,0.072,Falsch,"Medium Score = 54%
Low Score = 19%",,,,,,,,
Moldova,MD,null,Falsch,"Medium Score = 50%
Low Score = 28%",,,,,,,,
Netherlands,NL,0.042,Falsch,"Medium Score = 39%
Low Score = 18%",,,,,,,,
Norway,NO,null,Falsch,"Medium Score = 50%
Low Score = 28%",,,,,,,,
Poland,PL,0.109,Falsch,"Medium Score = 55%
Low Score = 25%",,,,,,,,
Portugal,PT,0.084,Falsch,"Medium Score = 56%
Low Score = 28%",,,,,,,,
Romania,RO,0.198,Falsch,"Medium Score = 57%
Low Score = 22%",,,,,,,,
Serbia,RS,null,Falsch,"Medium Score = 50%
Low Score = 28%",,,,,,,,
Sweden,SE,0.057,Falsch,"Medium Score = 47%
Low Score = 19%",,,,,,,,
Slovenia,SI,0.085,Falsch,"Medium Score = 49%
Low Score = 15%",,,,,,,,
Slovakia,SK,0.123,Falsch,"Medium Score = 53%
Low Score = 20%",,,,,,,,
Turkey,TR,null,Falsch,,,,,,,,,
United Kingdom,UK,null,Falsch,,,,,,,,,
Ukraine,UA,null,Falsch,,,,,,,,,
